Categoria,Familia_ou_sistema,Asset,Arquivo,Simbolo,Tamanho_na_ROM,Duplicado_com,Estado,Uso_real,Otimizacao_proposta,Economia_estimada,Risco,Validacao_necessaria
Cries,Pokemon (todas especies habilitadas),Total de amostras de grito (raw PCM),sound/direct_sound_samples/cries/*.bin,Cry_*,7920256,,NECESSARIO,Som de grito ao entrar em batalha/enviar Pokemon,Nenhuma direta (ver linha de hipotese de reaproveitamento por linha evolutiva),0,BAIXO,"MEDIDO (nm em Soulgold.elf); maior categoria isolada da ROM (24,2%)"
Follower/Overworld,Pokemon surfaveis (HGSS surf-follower),Sprites de Pokemon surfando (base+overlay 6 frames),graphics/object_events/pics/pokemon/surfable/*.4bpp,gSurfablePokemonPic_*/gSurfablePokemonShinyPic_*,2273280,,NECESSARIO,Exibido quando o seguidor ativo esta na lista fixa de ~136 especies e o jogador Surfa,"Decisao de escopo: reduzir lista curada de especies com arte de surf, se necessario",0,MEDIO,"MEDIDO; lista fixa em src/data/object_events/surfable/surfable_pokemon_graphics.h, independente do arquivo surfable_species_enabled.h (que e so wishlist futura, todo 0)"
Musica/SFX,Motor de audio,Amostras de instrumento (DirectSound waveforms),sound/direct_sound_samples/*,DirectSoundWaveData_*,1948636,,NECESSARIO,Timbres usados pelas trilhas MIDI (sound/songs),Nenhuma - build ja informou 210 faixas nao usadas removidas automaticamente,0,BAIXO,MEDIDO (nm em Soulgold.elf); ver 'Song configuration: 210 unused tracks disabled' no log de build
Mapas/Tileset,Tilesets de mapa,"Graficos de tileset (paredes, chao, decoracao)",graphics/*/tileset*,"gMetatiles_*, *Tileset*",1943888,,NECESSARIO,Renderizacao de todos os mapas do mundo,Nenhuma sem revisar mapas individualmente,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Follower/Overworld,Pokemon (todas especies habilitadas),Sprite overworld/seguidor comprimido (OW_GFX_COMPRESS),graphics/pokemon/*/overworld*.4bpp.smol,gObjectEventPic_*,1677488,,NECESSARIO,Sprite do Pokemon seguidor no mapa,Nenhuma - ja comprimido; ver linha OW_GFX_COMPRESS abaixo,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Icones,Pokemon (todas especies habilitadas),Icone de selecao/PC/resumo,graphics/pokemon/*/icon*.4bpp,gMonIcon_*,1429504,,NECESSARIO,"Exibido no menu, PC, resumo",Nenhuma,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Front sprite,Pokemon (todas especies habilitadas),Sprite frontal de batalha (2 frames de animacao),graphics/pokemon/*/anim_front*.4bpp.smol,gMonFrontPic_*,1551588,,NECESSARIO,Sprite do Pokemon inimigo/aliado em batalha,Ver linha SEGUNDO_FRAME abaixo para o custo isolado da animacao,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Mapas,Layout/headers de mapa,Blockdata de layout + headers + eventos,data/maps/*/map.json (compilado),"*_Layout_Blockdata, gMapHeader*",1305900,,NECESSARIO,Define geometria/colisao de cada mapa do mundo,Nenhuma sem cortar mapas inteiros,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Back sprite,Pokemon (todas especies habilitadas),"Sprite traseiro de batalha (1 frame, estatico)",graphics/pokemon/*/back*.4bpp.smol,gMonBackPic_*,883780,,NECESSARIO,Sprite do Pokemon do jogador em batalha,Nenhuma,0,BAIXO,MEDIDO (nm em Soulgold.elf)
Codigo e tabelas,Dados de especie,Tabela monolitica gSpeciesInfo (stats/tipos/aprendizado/etc de todas as 1577 entradas),src/data/pokemon/species_info/*.h,gSpeciesInfo,442120,,NECESSARIO,Fonte de dados de toda especie/forma compilada,"Nenhuma - remover so ocorre desabilitando P_FAMILY_*, o que tambem libera os assets associados",0,BAIXO,"MEDIDO (nm em Soulgold.elf); unico simbolo, engloba TODAS as especies/formas habilitadas"
Codigo e tabelas,Motor do jogo,"Codigo executavel (.text) nao relacionado a Pokemon/graficos (IA, battle engine, scripts, UI)",src/*.c,(11099 simbolos T),2792069,,NECESSARIO,Logica do jogo,Fora do escopo desta auditoria de assets; revisão de codigo morto exigiria analise separada de cobertura,0,BAIXO,"MEDIDO (nm em Soulgold.elf); agregagado de 11099 funcoes, nenhuma investigada individualmente"
Diversos,UI/minigames/paletas de caixa/trade/cassino/conquistas/etc,Cauda longa de dados pequenos nao classificados por categoria de Pokemon,"graphics/*, src/data/*","(72362 simbolos, media ~70B)",5066883,,REQUER_INVESTIGACAO,"Diversas telas de UI, minigames (cassino, derby, roleta, quebra-cabeca de fossil), papeis de parede de PC, animacoes de troca/hall da fama, sequencias de musica (mus_*)","Nenhuma proposta sem triagem individual - volume grande (15,5% da ROM) mas pulverizado em ~72 mil simbolos pequenos",0,MEDIO,"MEDIDO no agregado; NAO investigado item a item por volume - recomenda-se auditoria dedicada futura, especialmente cassino/derby/roleta/pinball se essas minigames nao estiverem acessiveis"
