EspecieBase,Forma,ConstInterna,Categoria,ExisteNoRepo,Habilitada,ObtivelPermanente,ComoObter/Ativar,TransformacaoDeBatalha,Evidencia
VENUSAUR,VENUSAUR_MEGA,SPECIES_VENUSAUR_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_GRASSTITE),Mega (item) (ITEM_GRASSTITE),src/data/pokemon/species_info/gen_1_families.h:248
CHARIZARD,CHARIZARD_MEGA_X,SPECIES_CHARIZARD_MEGA_X,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_DRAGOTITE),Mega (item) (ITEM_DRAGOTITE),src/data/pokemon/species_info/gen_1_families.h:616
CHARIZARD,CHARIZARD_MEGA_Y,SPECIES_CHARIZARD_MEGA_Y,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_FIRETITE),Mega (item) (ITEM_FIRETITE),src/data/pokemon/species_info/gen_1_families.h:692
BLASTOISE,BLASTOISE_MEGA,SPECIES_BLASTOISE_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_WATERTITE),Mega (item) (ITEM_WATERTITE),src/data/pokemon/species_info/gen_1_families.h:1063
BEEDRILL,BEEDRILL_MEGA,SPECIES_BEEDRILL_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_BUGTITE),Mega (item) (ITEM_BUGTITE),src/data/pokemon/species_info/gen_1_families.h:1772
PIDGEOT,PIDGEOT_MEGA,SPECIES_PIDGEOT_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_FLYINGITE),Mega (item) (ITEM_FLYINGITE),src/data/pokemon/species_info/gen_1_families.h:2100
ALAKAZAM,ALAKAZAM_MEGA,SPECIES_ALAKAZAM_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_PSYCHITE),Mega (item) (ITEM_PSYCHITE),src/data/pokemon/species_info/gen_1_families.h:9158
SLOWBRO,SLOWBRO_MEGA,SPECIES_SLOWBRO_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_WATERTITE),Mega (item) (ITEM_WATERTITE),src/data/pokemon/species_info/gen_1_families.h:11001
GENGAR,GENGAR_MEGA,SPECIES_GENGAR_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_GHOSTITE),Mega (item) (ITEM_GHOSTITE),src/data/pokemon/species_info/gen_1_families.h:12814
KANGASKHAN,KANGASKHAN_MEGA,SPECIES_KANGASKHAN_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_NORMALITE),Mega (item) (ITEM_NORMALITE),src/data/pokemon/species_info/gen_1_families.h:15865
PINSIR,PINSIR_MEGA,SPECIES_PINSIR_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_BUGTITE),Mega (item) (ITEM_BUGTITE),src/data/pokemon/species_info/gen_1_families.h:17949
GYARADOS,GYARADOS_MEGA,SPECIES_GYARADOS_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_WATERTITE),Mega (item) (ITEM_WATERTITE),src/data/pokemon/species_info/gen_1_families.h:18502
AERODACTYL,AERODACTYL_MEGA,SPECIES_AERODACTYL_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_ROCKTITE),Mega (item) (ITEM_ROCKTITE),src/data/pokemon/species_info/gen_1_families.h:20237
MEWTWO,MEWTWO_MEGA_X,SPECIES_MEWTWO_MEGA_X,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_FIGHTITE),Mega (item) (ITEM_FIGHTITE),src/data/pokemon/species_info/gen_1_families.h:21410
MEWTWO,MEWTWO_MEGA_Y,SPECIES_MEWTWO_MEGA_Y,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_PSYCHITE),Mega (item) (ITEM_PSYCHITE),src/data/pokemon/species_info/gen_1_families.h:21491
AMPHAROS,AMPHAROS_MEGA,SPECIES_AMPHAROS_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_ELECTRITE),Mega (item) (ITEM_ELECTRITE),src/data/pokemon/species_info/gen_2_families.h:2366
STEELIX,STEELIX_MEGA,SPECIES_STEELIX_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_STEELTITE),Mega (item) (ITEM_STEELTITE),src/data/pokemon/species_info/gen_1_families.h:13121
SCIZOR,SCIZOR_MEGA,SPECIES_SCIZOR_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_BUGTITE),Mega (item) (ITEM_BUGTITE),src/data/pokemon/species_info/gen_1_families.h:17103
HERACROSS,HERACROSS_MEGA,SPECIES_HERACROSS_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_BUGTITE),Mega (item) (ITEM_BUGTITE),src/data/pokemon/species_info/gen_2_families.h:5755
HOUNDOOM,HOUNDOOM_MEGA,SPECIES_HOUNDOOM_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_DARKTITE),Mega (item) (ITEM_DARKTITE),src/data/pokemon/species_info/gen_2_families.h:7791
TYRANITAR,TYRANITAR_MEGA,SPECIES_TYRANITAR_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_ROCKTITE),Mega (item) (ITEM_ROCKTITE),src/data/pokemon/species_info/gen_2_families.h:8809
SCEPTILE,SCEPTILE_MEGA,SPECIES_SCEPTILE_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_GRASSTITE),Mega (item) (ITEM_GRASSTITE),src/data/pokemon/species_info/gen_3_families.h:233
BLAZIKEN,BLAZIKEN_MEGA,SPECIES_BLAZIKEN_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_BONDSTONE),Mega (item) (ITEM_BONDSTONE),src/data/pokemon/species_info/gen_3_families.h:573
SWAMPERT,SWAMPERT_MEGA,SPECIES_SWAMPERT_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_WATERTITE),Mega (item) (ITEM_WATERTITE),src/data/pokemon/species_info/gen_3_families.h:882
GARDEVOIR,GARDEVOIR_MEGA,SPECIES_GARDEVOIR_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_FAIRYTITE),Mega (item) (ITEM_FAIRYTITE),src/data/pokemon/species_info/gen_3_families.h:2998
SABLEYE,SABLEYE_MEGA,SPECIES_SABLEYE_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_DARKTITE),Mega (item) (ITEM_DARKTITE),src/data/pokemon/species_info/gen_3_families.h:4892
MAWILE,MAWILE_MEGA,SPECIES_MAWILE_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_FAIRYTITE),Mega (item) (ITEM_FAIRYTITE),src/data/pokemon/species_info/gen_3_families.h:5055
AGGRON,AGGRON_MEGA,SPECIES_AGGRON_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_STEELTITE),Mega (item) (ITEM_STEELTITE),src/data/pokemon/species_info/gen_3_families.h:5363
MEDICHAM,MEDICHAM_MEGA,SPECIES_MEDICHAM_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_FIGHTITE),Mega (item) (ITEM_FIGHTITE),src/data/pokemon/species_info/gen_3_families.h:5616
MANECTRIC,MANECTRIC_MEGA,SPECIES_MANECTRIC_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_ELECTRITE),Mega (item) (ITEM_ELECTRITE),src/data/pokemon/species_info/gen_3_families.h:5842
SHARPEDO,SHARPEDO_MEGA,SPECIES_SHARPEDO_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_WATERTITE),Mega (item) (ITEM_WATERTITE),src/data/pokemon/species_info/gen_3_families.h:6838
CAMERUPT,CAMERUPT_MEGA,SPECIES_CAMERUPT_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_FIRETITE),Mega (item) (ITEM_FIRETITE),src/data/pokemon/species_info/gen_3_families.h:7250
ALTARIA,ALTARIA_MEGA,SPECIES_ALTARIA_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_FAIRYTITE),Mega (item) (ITEM_FAIRYTITE),src/data/pokemon/species_info/gen_3_families.h:8209
BANETTE,BANETTE_MEGA,SPECIES_BANETTE_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_GHOSTITE),Mega (item) (ITEM_GHOSTITE),src/data/pokemon/species_info/gen_3_families.h:10172
ABSOL,ABSOL_MEGA,SPECIES_ABSOL_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_DARKTITE),Mega (item) (ITEM_DARKTITE),src/data/pokemon/species_info/gen_3_families.h:10908
GLALIE,GLALIE_MEGA,SPECIES_GLALIE_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_ICETITE),Mega (item) (ITEM_ICETITE),src/data/pokemon/species_info/gen_3_families.h:11213
SALAMENCE,SALAMENCE_MEGA,SPECIES_SALAMENCE_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_DRAGOTITE),Mega (item) (ITEM_DRAGOTITE),src/data/pokemon/species_info/gen_3_families.h:12294
METAGROSS,METAGROSS_MEGA,SPECIES_METAGROSS_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_STEELTITE),Mega (item) (ITEM_STEELTITE),src/data/pokemon/species_info/gen_3_families.h:12605
LATIAS,LATIAS_MEGA,SPECIES_LATIAS_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_DRAGOTITE),Mega (item) (ITEM_DRAGOTITE),src/data/pokemon/species_info/gen_3_families.h:13015
LATIOS,LATIOS_MEGA,SPECIES_LATIOS_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_DRAGOTITE),Mega (item) (ITEM_DRAGOTITE),src/data/pokemon/species_info/gen_3_families.h:13179
LOPUNNY,LOPUNNY_MEGA,SPECIES_LOPUNNY_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_NORMALITE),Mega (item) (ITEM_NORMALITE),src/data/pokemon/species_info/gen_4_families.h:3631
GARCHOMP,GARCHOMP_MEGA,SPECIES_GARCHOMP_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_GROUNDITE),Mega (item) (ITEM_GROUNDITE),src/data/pokemon/species_info/gen_4_families.h:4571
LUCARIO,LUCARIO_MEGA,SPECIES_LUCARIO_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_FIGHTITE),Mega (item) (ITEM_FIGHTITE),src/data/pokemon/species_info/gen_4_families.h:4858
ABOMASNOW,ABOMASNOW_MEGA,SPECIES_ABOMASNOW_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_ICETITE),Mega (item) (ITEM_ICETITE),src/data/pokemon/species_info/gen_4_families.h:5934
GALLADE,GALLADE_MEGA,SPECIES_GALLADE_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_PSYCHITE),Mega (item) (ITEM_PSYCHITE),src/data/pokemon/species_info/gen_3_families.h:3155
AUDINO,AUDINO_MEGA,SPECIES_AUDINO_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_NORMALITE),Mega (item) (ITEM_NORMALITE),src/data/pokemon/species_info/gen_5_families.h:3030
DIANCIE,DIANCIE_MEGA,SPECIES_DIANCIE_MEGA,Mega Evolution,Sim,Sim,Não,Mega (item) (ITEM_FAIRYTITE),Mega (item) (ITEM_FAIRYTITE),src/data/pokemon/species_info/gen_6_families.h:7395
RAYQUAZA,RAYQUAZA_MEGA,SPECIES_RAYQUAZA_MEGA,Mega Evolution,Sim,Sim,Não,Mega (golpe),Mega (golpe),src/data/pokemon/species_info/gen_3_families.h:13666
KYOGRE,KYOGRE_PRIMAL,SPECIES_KYOGRE_PRIMAL,Primal Reversion,Sim,Sim,Não,Primal (orbe) (ITEM_BLUE_ORB),Primal (orbe) (ITEM_BLUE_ORB),src/data/pokemon/species_info/gen_3_families.h:13343
GROUDON,GROUDON_PRIMAL,SPECIES_GROUDON_PRIMAL,Primal Reversion,Sim,Sim,Não,Primal (orbe) (ITEM_RED_ORB),Primal (orbe) (ITEM_RED_ORB),src/data/pokemon/species_info/gen_3_families.h:13503
RATTATA,RATTATA_ALOLA,SPECIES_RATTATA_ALOLA,Regional (Alola),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:2364
RATICATE,RATICATE_ALOLA,SPECIES_RATICATE_ALOLA,Regional (Alola),Sim,Sim,Sim,"evolution: from SPECIES_RATTATA_ALOLA : EVO_LEVEL, 20, SPECIES_RATICATE_ALOLA, CONDITIONS({IF_TIME, TIME_NIGHT})",,src/data/pokemon/species_info/gen_1_families.h:2447
RAICHU,RAICHU_ALOLA,SPECIES_RAICHU_ALOLA,Regional (Alola),Sim,Sim,Sim,"evolution: from SPECIES_PIKACHU : EVO_ITEM, ITEM_STRANGE_SOUVENIR, SPECIES_RAICHU_ALOLA",,src/data/pokemon/species_info/gen_1_families.h:4162
SANDSHREW,SANDSHREW_ALOLA,SPECIES_SANDSHREW_ALOLA,Regional (Alola),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:4534
SANDSLASH,SANDSLASH_ALOLA,SPECIES_SANDSLASH_ALOLA,Regional (Alola),Sim,Sim,Sim,"evolution: from SPECIES_SANDSHREW_ALOLA : EVO_ITEM, ITEM_ICE_STONE, SPECIES_SANDSLASH_ALOLA",,src/data/pokemon/species_info/gen_1_families.h:4609
VULPIX,VULPIX_ALOLA,SPECIES_VULPIX_ALOLA,Regional (Alola),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_TOP_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:5638
NINETALES,NINETALES_ALOLA,SPECIES_NINETALES_ALOLA,Regional (Alola),Sim,Sim,Sim,"evolution: from SPECIES_VULPIX_ALOLA : EVO_ITEM, ITEM_ICE_STONE, SPECIES_NINETALES_ALOLA",,src/data/pokemon/species_info/gen_1_families.h:5713
DIGLETT,DIGLETT_ALOLA,SPECIES_DIGLETT_ALOLA,Regional (Alola),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:7216
DUGTRIO,DUGTRIO_ALOLA,SPECIES_DUGTRIO_ALOLA,Regional (Alola),Sim,Sim,Sim,"evolution: from SPECIES_DIGLETT_ALOLA : EVO_LEVEL, 26, SPECIES_DUGTRIO_ALOLA",,src/data/pokemon/species_info/gen_1_families.h:7292
MEOWTH,MEOWTH_ALOLA,SPECIES_MEOWTH_ALOLA,Regional (Alola),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:7539
PERSIAN,PERSIAN_ALOLA,SPECIES_PERSIAN_ALOLA,Regional (Alola),Sim,Sim,Sim,"evolution: from SPECIES_MEOWTH_ALOLA : EVO_LEVEL, 0, SPECIES_PERSIAN_ALOLA, CONDITIONS({IF_MIN_FRIENDSHIP, FRIENDSHIP_EVO_THRESHOLD})",,src/data/pokemon/species_info/gen_1_families.h:7614
GEODUDE,GEODUDE_ALOLA,SPECIES_GEODUDE_ALOLA,Regional (Alola),Sim,Sim,Sim,Encontro selvagem @ SAFARI_ZONE_LOW_MID [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_1_families.h:10262
