NatDex,Especie,Const,Geracao,ExisteNoRepo,Habilitada,Obtivel,Classificacao,MetodoLocal,Evidencia
1,Bulbasaur,SPECIES_BULBASAUR,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
2,Ivysaur,SPECIES_IVYSAUR,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
3,Venusaur,SPECIES_VENUSAUR,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
4,Charmander,SPECIES_CHARMANDER,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
5,Charmeleon,SPECIES_CHARMELEON,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
6,Charizard,SPECIES_CHARIZARD,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
7,Squirtle,SPECIES_SQUIRTLE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
8,Wartortle,SPECIES_WARTORTLE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
9,Blastoise,SPECIES_BLASTOISE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
10,Caterpie,SPECIES_CATERPIE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ NATIONAL_PARK_BUG_CONTEST; Wild encounter @ ROUTE30; Wild encounter @ ROUTE31,src/data/wild_encounters.json (MAP_ROUTE30)
11,Metapod,SPECIES_METAPOD,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ILEX_FOREST; Wild encounter @ NATIONAL_PARK_BUG_CONTEST; Wild encounter @ NATIONAL_PARK_NORMAL,src/data/wild_encounters.json (MAP_ILEX_FOREST)
12,Butterfree,SPECIES_BUTTERFREE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ NATIONAL_PARK_BUG_CONTEST,src/data/wild_encounters.json (MAP_NATIONAL_PARK_BUG_CONTEST)
13,Weedle,SPECIES_WEEDLE,1,Sim,Sim,Sim,Obtível normalmente,Wild encounter @ NATIONAL_PARK_BUG_CONTEST; Wild encounter @ ROUTE30,src/data/wild_encounters.json (MAP_ROUTE30)
14,Kakuna,SPECIES_KAKUNA,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ILEX_FOREST; Wild encounter @ NATIONAL_PARK_BUG_CONTEST; Wild encounter @ NATIONAL_PARK_NORMAL,src/data/wild_encounters.json (MAP_ILEX_FOREST)
15,Beedrill,SPECIES_BEEDRILL,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ NATIONAL_PARK_BUG_CONTEST,src/data/wild_encounters.json (MAP_NATIONAL_PARK_BUG_CONTEST)
16,Pidgey,SPECIES_PIDGEY,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE29; Wild encounter @ ROUTE30,src/data/wild_encounters.json (MAP_ROUTE29)
17,Pidgeotto,SPECIES_PIDGEOTTO,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
18,Pidgeot,SPECIES_PIDGEOT,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
19,Rattata,SPECIES_RATTATA,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE29; Wild encounter @ SPROUT_TOWER_2F; Wild encounter @ SPROUT_TOWER_3F,src/data/wild_encounters.json (MAP_ROUTE29)
20,Raticate,SPECIES_RATICATE,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ TIN_TOWER_3F; Wild encounter @ TIN_TOWER_4F; Wild encounter @ TIN_TOWER_5F; Wild encounter @ TIN_TOWER_6F; Wild encounter @ TIN_TOWER_7F; Wild encounter @ TIN_TOWER_8F; Wild encounter @ TIN_TOWER_9F,src/data/wild_encounters.json (MAP_TIN_TOWER_3F)
21,Spearow,SPECIES_SPEAROW,1,Sim,Nao,Nao,Desabilitado por configuração,"NPC gift (script, var) @ GATE_GOLDENROD_CITY_ROUTE35",data/maps/Gate_GoldenrodCity_Route35/scripts.inc:36 (MAP_GATE_GOLDENROD_CITY_ROUTE35)
22,Fearow,SPECIES_FEAROW,1,Sim,Nao,Nao,Desabilitado por configuração,,src/data/pokemon/species_info/gen_1_families.h:2657
23,Ekans,SPECIES_EKANS,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE32; Wild encounter @ ROUTE33,src/data/wild_encounters.json (MAP_ROUTE32)
24,Arbok,SPECIES_ARBOK,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE28,src/data/wild_encounters.json (MAP_ROUTE28)
25,Pikachu,SPECIES_PIKACHU,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Hidden Grotto @ HIDDEN_GROTTO_ROUTE35; Wild encounter @ RAILWAY_CAVE; Wild encounter @ RAILWAY_CAVE_2F; Wild encounter @ RAILWAY_CAVE_3F,src/data/wild_encounters.json (MAP_RAILWAY_CAVE)
26,Raichu,SPECIES_RAICHU,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
27,Sandshrew,SPECIES_SANDSHREW,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ SLOWPOKE_WELL_B1F; Wild encounter @ SLOWPOKE_WELL_B2F; Wild encounter @ UNION_CAVE_1F; Wild encounter @ UNION_CAVE_B1F,src/data/wild_encounters.json (MAP_UNION_CAVE_1F)
28,Sandslash,SPECIES_SANDSLASH,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER,src/game_corner_gacha.c (MAP_MAUVILLE_CITY_GAME_CORNER)
29,Nidoran♀,SPECIES_NIDORAN_F,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE46,src/data/wild_encounters.json (MAP_ROUTE46)
30,Nidorina,SPECIES_NIDORINA,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE42,src/data/wild_encounters.json (MAP_ROUTE42)
31,Nidoqueen,SPECIES_NIDOQUEEN,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ VAJRA_DESERT_EAST_CAVE,src/data/wild_encounters.json (MAP_VAJRA_DESERT_EAST_CAVE)
32,Nidoran♂,SPECIES_NIDORAN_M,1,Sim,Sim,Sim,Obtível normalmente,Game Corner gacha @ MAUVILLE_CITY_GAME_CORNER; Wild encounter @ ROUTE46,src/data/wild_encounters.json (MAP_ROUTE46)
