Familia,FlagConfig,Geracao,DexRange,NumEspecies,Membros,Flag,Tipos,InnatesCompletos,InnatesRatio,GruposOvo,JaReferenciado,Evidencia
SPEAROW,P_FAMILY_SPEAROW,1,21-22,2,"Spearow, Fearow",Comum,"NORMAL, FLYING",Sim,2/2,EGG_GROUP_FLYING,script_gift_var,src/data/pokemon/species_info/gen_1_families.h:2582
PARAS,P_FAMILY_PARAS,1,46-47,2,"Paras, Parasect",Comum,"BUG, GRASS",Sim,2/2,"EGG_GROUP_BUG, EGG_GROUP_GRASS",,src/data/pokemon/species_info/gen_1_families.h:6701
VENONAT,P_FAMILY_VENONAT,1,48-49,2,"Venonat, Venomoth",Comum,"BUG, POISON",Sim,2/2,EGG_GROUP_BUG,,src/data/pokemon/species_info/gen_1_families.h:6876
PSYDUCK,P_FAMILY_PSYDUCK,1,54-55,2,"Psyduck, Golduck",Comum,WATER,Sim,2/2,"EGG_GROUP_WATER_1, EGG_GROUP_FIELD",,src/data/pokemon/species_info/gen_1_families.h:7887
DODUO,P_FAMILY_DODUO,1,84-85,2,"Doduo, Dodrio",Comum,"NORMAL, FLYING",Sim,2/2,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_1_families.h:11768
DROWZEE,P_FAMILY_DROWZEE,1,96-97,2,"Drowzee, Hypno",Comum,PSYCHIC,Sim,2/2,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_1_families.h:13200
KRABBY,P_FAMILY_KRABBY,1,98-99,2,"Krabby, Kingler",Comum,WATER,Sim,2/2,EGG_GROUP_WATER_3,,src/data/pokemon/species_info/gen_1_families.h:13374
GOLDEEN,P_FAMILY_GOLDEEN,1,118-119,2,"Goldeen, Seaking",Comum,WATER,Sim,2/2,EGG_GROUP_WATER_2,,src/data/pokemon/species_info/gen_1_families.h:16196
JYNX,P_FAMILY_JYNX,1,124-238,2,"Jynx, Smoochum",Comum,"ICE, PSYCHIC",Sim,2/2,EGG_GROUP_HUMAN_LIKE,,src/data/pokemon/species_info/gen_1_families.h:17326
OMANYTE,P_FAMILY_OMANYTE,1,138-139,2,"Omanyte, Omastar",Comum,"ROCK, WATER",Sim,2/2,"EGG_GROUP_WATER_1, EGG_GROUP_WATER_3",script_gift; script_gift_var,src/data/pokemon/species_info/gen_1_families.h:19843
