NatDex,Geracao,Especie,Const,BaseOuForma,Familia,Flag,Tipos,NumInnates,Innates,FonteInnates,GruposOvo,JaReferenciadoNoJogo,Evidencia
21,1,Spearow,SPECIES_SPEAROW,base,SPEAROW,Comum,"NORMAL, FLYING",1,ABILITY_HUSTLE,entrada,EGG_GROUP_FLYING,script_gift_var@data/maps/Gate_GoldenrodCity_Route35/scripts.inc:36,src/data/pokemon/species_info/gen_1_families.h:2582
22,1,Fearow,SPECIES_FEAROW,base,SPEAROW,Comum,"NORMAL, FLYING",3,"ABILITY_WIND_RIDER, ABILITY_MOXIE, ABILITY_EARLY_BIRD",entrada,EGG_GROUP_FLYING,,src/data/pokemon/species_info/gen_1_families.h:2657
25,1,Pikachu,SPECIES_PIKACHU_ALOLA,forma,PIKACHU,Comum,ELECTRIC,3,"ABILITY_PLUS, ABILITY_BATTERY, ABILITY_BATTLE_BOND",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3761
25,1,Pikachu,SPECIES_PIKACHU_BELLE,forma,PIKACHU,Comum,ELECTRIC,2,"ABILITY_PLUS, ABILITY_BATTERY",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3249
25,1,Pikachu,SPECIES_PIKACHU_COSPLAY,forma,PIKACHU,Comum,ELECTRIC,2,"ABILITY_PLUS, ABILITY_BATTERY",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3141
25,1,Pikachu,SPECIES_PIKACHU_HOENN,forma,PIKACHU,Comum,ELECTRIC,3,"ABILITY_PLUS, ABILITY_BATTERY, ABILITY_BATTLE_BOND",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3529
25,1,Pikachu,SPECIES_PIKACHU_KALOS,forma,PIKACHU,Comum,ELECTRIC,3,"ABILITY_PLUS, ABILITY_BATTERY, ABILITY_BATTLE_BOND",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3703
25,1,Pikachu,SPECIES_PIKACHU_LIBRE,forma,PIKACHU,Comum,ELECTRIC,2,"ABILITY_PLUS, ABILITY_BATTERY",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3413
25,1,Pikachu,SPECIES_PIKACHU_ORIGINAL,forma,PIKACHU,Comum,ELECTRIC,3,"ABILITY_PLUS, ABILITY_BATTERY, ABILITY_BATTLE_BOND",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3470
25,1,Pikachu,SPECIES_PIKACHU_PARTNER,forma,PIKACHU,Comum,ELECTRIC,3,"ABILITY_PLUS, ABILITY_BATTERY, ABILITY_BATTLE_BOND",entrada,EGG_GROUP_NO_EGGS_DISCOVERED,,src/data/pokemon/species_info/gen_1_families.h:3819
