row,NatDex,Geracao,Familia,Especie_Forma,Constante,Arquivo,TipoEdicao,MacroOuStruct,AbilitiesNaturaisReais,InnatesAplicadas,InnatesSugeridasPlanilha,Status,Observacao
5,414,4,BURMY,MOTHIM_PLANT,SPECIES_MOTHIM_PLANT,src/data/pokemon/species_info/gen_4_families.h,macro,MOTHIM_SPECIES_INFO,"ABILITY_SWARM, ABILITY_NONE, ABILITY_TINTED_LENS","ABILITY_COMPOUND_EYES, ABILITY_WINDCALLER, ABILITY_MANEUVERABILITY","ABILITY_COMPOUND_EYES, ABILITY_WINDCALLER, ABILITY_MANEUVERABILITY",implementado,
6,414,4,BURMY,MOTHIM_SANDY,SPECIES_MOTHIM_SANDY,src/data/pokemon/species_info/gen_4_families.h,macro,MOTHIM_SPECIES_INFO,"ABILITY_SWARM, ABILITY_NONE, ABILITY_TINTED_LENS","ABILITY_COMPOUND_EYES, ABILITY_WINDCALLER, ABILITY_MANEUVERABILITY","ABILITY_COMPOUND_EYES, ABILITY_WINDCALLER, ABILITY_MANEUVERABILITY",implementado,
7,414,4,BURMY,MOTHIM_TRASH,SPECIES_MOTHIM_TRASH,src/data/pokemon/species_info/gen_4_families.h,macro,MOTHIM_SPECIES_INFO,"ABILITY_SWARM, ABILITY_NONE, ABILITY_TINTED_LENS","ABILITY_COMPOUND_EYES, ABILITY_WINDCALLER, ABILITY_MANEUVERABILITY","ABILITY_COMPOUND_EYES, ABILITY_WINDCALLER, ABILITY_MANEUVERABILITY",implementado,
8,504,5,PATRAT,Patrat,SPECIES_PATRAT,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_PATRAT,"ABILITY_RUN_AWAY, ABILITY_KEEN_EYE, ABILITY_ANALYTIC",ABILITY_UNDERDOG,ABILITY_UNDERDOG,implementado,
9,505,5,PATRAT,Watchog,SPECIES_WATCHOG,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_WATCHOG,"ABILITY_ILLUMINATE, ABILITY_KEEN_EYE, ABILITY_ANALYTIC","ABILITY_STAKEOUT, ABILITY_UNDERDOG, ABILITY_MANEUVERABILITY","ABILITY_STAKEOUT, ABILITY_UNDERDOG, ABILITY_MANEUVERABILITY",implementado,
10,506,5,LILLIPUP,Lillipup,SPECIES_LILLIPUP,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_LILLIPUP,"ABILITY_VITAL_SPIRIT, ABILITY_PICKUP, ABILITY_RUN_AWAY",ABILITY_GUARD_DOG,ABILITY_GUARD_DOG,implementado,
11,507,5,LILLIPUP,Herdier,SPECIES_HERDIER,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_HERDIER,"ABILITY_INTIMIDATE, ABILITY_SAND_RUSH, ABILITY_SCRAPPY","ABILITY_PICKUP, ABILITY_GUARD_DOG","ABILITY_PICKUP, ABILITY_GUARD_DOG",implementado,
12,508,5,LILLIPUP,Stoutland,SPECIES_STOUTLAND,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_STOUTLAND,"ABILITY_INTIMIDATE, ABILITY_SAND_RUSH, ABILITY_SCRAPPY","ABILITY_GUARD_DOG, ABILITY_PACK_LEADER, ABILITY_UNDERDOG","ABILITY_GUARD_DOG, ABILITY_PACK_LEADER, ABILITY_UNDERDOG",implementado,
13,509,5,PURRLOIN,Purrloin,SPECIES_PURRLOIN,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_PURRLOIN,"ABILITY_LIMBER, ABILITY_UNBURDEN, ABILITY_PRANKSTER",ABILITY_MANEUVERABILITY,ABILITY_MANEUVERABILITY,implementado,
14,510,5,PURRLOIN,Liepard,SPECIES_LIEPARD,src/data/pokemon/species_info/gen_5_families.h,direct,SPECIES_LIEPARD,"ABILITY_LIMBER, ABILITY_UNBURDEN, ABILITY_PRANKSTER","ABILITY_MANEUVERABILITY, ABILITY_INFILTRATOR, ABILITY_SUPER_LUCK","ABILITY_MANEUVERABILITY, ABILITY_INFILTRATOR, ABILITY_SUPER_LUCK",implementado,
