valor,dec,nome,bloco,status,leituras,escritas,arquivos,mapas,escopo,comentario
0x1,1,FLAG_TEMP_1,TEMP,EM_USO,14,74,108,BattleFrontier_BattleDomePreBattleRoom;BlackthornCity;BlackthornCity_House3;CeladonCity_Gym,GLOBAL(codigo),
0x1,1,FLAG_TEMP_SKIP_GABBY_INTERVIEW,TEMP,EM_USO,0,1,1,,GLOBAL(codigo),
0x2,2,FLAG_TEMP_2,TEMP,EM_USO,17,55,80,BattleFrontier_BattleTowerMultiBattleRoom;BlackthornCity;CeladonCity;CeladonCity_Gym,GLOBAL(codigo),
0x2,2,FLAG_TEMP_REGICE_PUZZLE_STARTED,TEMP,EM_USO,1,1,1,,GLOBAL(codigo),
0x3,3,FLAG_TEMP_3,TEMP,EM_USO,7,55,64,BlackthornCity;CeladonCity;CeladonCity_Gym;CeruleanCave_1F,MULTI_MAPA(39),
0x3,3,FLAG_TEMP_REGICE_PUZZLE_FAILED,TEMP,EM_USO,1,1,1,,GLOBAL(codigo),
0x4,4,FLAG_TEMP_4,TEMP,EM_USO,6,31,46,BlackthornCity;CeruleanCave_1F;CeruleanCave_B1F;CeruleanCave_B2F,MULTI_MAPA(27),
0x5,5,FLAG_TEMP_5,TEMP,EM_USO,8,47,44,CeruleanCave_1F;CeruleanCave_B1F;CeruleanCave_B2F;CherrygroveCity,MULTI_MAPA(29),Unused Flag
0x6,6,FLAG_TEMP_6,TEMP,EM_USO,4,18,24,CeruleanCave_1F;CeruleanCave_B1F;CherrygroveCity;CliffEdgeCave,MULTI_MAPA(15),Unused Flag
0x7,7,FLAG_TEMP_7,TEMP,EM_USO,3,14,17,CeruleanCave_1F;CeruleanCave_B1F;CherrygroveCity;CliffEdgeCave,MULTI_MAPA(11),Unused Flag
0x8,8,FLAG_TEMP_8,TEMP,EM_USO,2,11,14,CeruleanCave_1F;CeruleanCave_B1F;CherrygroveCity;CliffEdgeCave,MULTI_MAPA(9),Unused Flag
0x9,9,FLAG_TEMP_9,TEMP,EM_USO,2,4,9,CeruleanCave_1F;CeruleanCave_B1F;CliffEdgeCave;IcePath_B4F,MULTI_MAPA(7),Unused Flag
