phase,action,trainer_id,trainer,scope,decision,reason,guard,implementation_report
0,DO_NOT_USE_OUT_OF_RANGE_ID,1164,TRAINER_UNUSED_300,trainer_limit,PROTECT,Outside valid 0-1163 trainer array range,Never use as trainer ID,RESTRITO
0,DO_NOT_USE_RECLAIMED_TRAINER_IDS,1056-1163,TRAINER_UNUSED_192 onward,flags,PROTECT,These trainer flag positions were reclaimed for standalone flags,Not available as trainer IDs,RESTRITO
0,PROTECT_CANONICAL_RIFT_BATTLE,263,TRAINER_GLACIA,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Glacia (Elite Four),none,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,660,TRAINER_WALLY_VR_5,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Wally (Rival),TRAINER_WALLY_VR_1 519; TRAINER_WALLY_MAUVILLE 656; WALLY_VR_2 through WALLY_VR_4,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,734,TRAINER_MAXIE_MOSSDEEP,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Maxie (Team Magma),TRAINER_MAXIE_MAGMA_HIDEOUT 601; TRAINER_MAXIE_MT_CHIMNEY 602,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,773,TRAINER_ROXANNE_5,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Roxanne (Gym Leader),ROXANNE_1; ROXANNE_2; ROXANNE_3; ROXANNE_4; generic TRAINER_ROXANNE collision,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,781,TRAINER_WATTSON_5,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Wattson (Gym Leader),WATTSON_1; WATTSON_4,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,789,TRAINER_NORMAN_5,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Norman (Gym Leader),NORMAN_1; NORMAN_2; NORMAN_3; NORMAN_4; generic TRAINER_NORMAN collision,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,793,TRAINER_WINONA_5,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Winona (Gym Leader),WINONA_1; WINONA_2; WINONA_3; WINONA_4,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,797,TRAINER_TATE_AND_LIZA_5,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Tate & Liza (Gym Leader),TATE_AND_LIZA_1; TATE_AND_LIZA_2; TATE_AND_LIZA_3; TATE_AND_LIZA_4,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,801,TRAINER_JUAN_5,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Juan (Gym Leader),JUAN_1; JUAN_2; JUAN_3; JUAN_4,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,853,TRAINER_BRENDAN_PLACEHOLDER,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Brendan (Rival),all route/location/starter Brendan variants,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,854,TRAINER_MAY_PLACEHOLDER,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for May (Rival),all route/location/starter May variants,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,856,TRAINER_WALLACE2,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Wallace (Champion),TRAINER_WALLACE 335,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,860,TRAINER_SIDNEY2,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Sidney (Elite Four),TRAINER_SIDNEY 261,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,861,TRAINER_PHOEBE2,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Phoebe (Elite Four),TRAINER_PHOEBE 262,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,951,TRAINER_UNUSED_87,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Brawly (Gym Leader),original symbol absent/overwritten,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,952,TRAINER_UNUSED_88,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Flannery (Gym Leader),original symbol absent/overwritten,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,953,TRAINER_UNUSED_89,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Drake (Elite Four),original ID 264 overwritten as TRAINER_KIP,PROTEGIDO
0,PROTECT_CANONICAL_RIFT_BATTLE,954,TRAINER_UNUSED_90,canonical_hoenn_roster,KEEP_OR_REBUILD,Keep exactly one battle for Archie (Team Aqua),no Archie constant remains,PROTEGIDO
0,PROTECT_EXISTING_CHARACTER,804,TRAINER_STEVEN,custom_campaign_and_rift_candidate,KEEP_HARD_ONLY,Steven is already used by custom content and is the strongest additional Hoenn recommendation,Never remove during legacy Hoenn cleanup,PROTEGIDO
0,PROTECT_FRONTIER_BRAIN_REVIEW,806,TRAINER_TUCKER,frontier_brain,PROTECT_PENDING_DECISION,Potential Rift-loop opponent or existing custom/facility consumer,Do not delete automatically,PROTEGIDO
0,PROTECT_FRONTIER_BRAIN_REVIEW,807,TRAINER_SPENSER,frontier_brain,PROTECT_PENDING_DECISION,Potential Rift-loop opponent or existing custom/facility consumer,Do not delete automatically,PROTEGIDO
0,PROTECT_FRONTIER_BRAIN_REVIEW,808,TRAINER_GRETA,frontier_brain,PROTECT_PENDING_DECISION,Potential Rift-loop opponent or existing custom/facility consumer,Do not delete automatically,PROTEGIDO
0,PROTECT_FRONTIER_BRAIN_REVIEW,809,TRAINER_NOLAND,frontier_brain,PROTECT_PENDING_DECISION,Potential Rift-loop opponent or existing custom/facility consumer,Do not delete automatically,PROTEGIDO
0,PROTECT_FRONTIER_BRAIN_REVIEW,810,TRAINER_LUCY,frontier_brain,PROTECT_PENDING_DECISION,Potential Rift-loop opponent or existing custom/facility consumer,Do not delete automatically,PROTEGIDO
0,PROTECT_FRONTIER_BRAIN_REVIEW,811,TRAINER_BRANDON,frontier_brain,PROTECT_PENDING_DECISION,Potential Rift-loop opponent or existing custom/facility consumer,Do not delete automatically,PROTEGIDO
0,PROTECT_RIFT_RESERVED,966,TRAINER_KUKUI,party,KEEP,Reserved by Rift Missions design,Do not classify as dead content,PROTEGIDO
1,PROMOTE_HARD_TO_DEFAULT,132,TRAINER_ARIANA_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,180,TRAINER_JASMINE_1_3,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,19,TRAINER_FALKNER_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,204,TRAINER_KOGA_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,226,TRAINER_RIVAL_TOTODILE_5,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,244,TRAINER_PRYCE_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,249,TRAINER_LANCE_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,26,TRAINER_FALKNER_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,278,TRAINER_PETREL_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,279,TRAINER_PROTON_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,376,TRAINER_WILL_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,379,TRAINER_BRUNO_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,380,TRAINER_BRUNO_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,381,TRAINER_KAREN_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,382,TRAINER_KAREN_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,383,TRAINER_KOGA_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,402,TRAINER_CHUCK_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,427,TRAINER_JASMINE_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,43,TRAINER_BLAINE_OLIVINE,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,442,TRAINER_CHUCK_1_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,467,TRAINER_PETREL_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,468,TRAINER_ARCHER,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,503,TRAINER_RIVAL_TOTODILE_4,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,510,TRAINER_CHUCK_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,513,TRAINER_JASMINE_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,538,TRAINER_CHUCK_1_3,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,541,TRAINER_CLAIR_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,542,TRAINER_CLAIR_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,546,TRAINER_PRYCE_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,552,TRAINER_RIVAL_CHIKORITA_4,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,555,TRAINER_RIVAL_CHIKORITA_5,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,578,TRAINER_PRYCE_1_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,596,TRAINER_BUGSY_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,604,TRAINER_WHITNEY_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,607,TRAINER_WHITNEY_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,608,TRAINER_MORTY_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,609,TRAINER_MORTY_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,621,TRAINER_RIVAL_CYNDAQUIL_4,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,622,TRAINER_RIVAL_CYNDAQUIL_5,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,651,TRAINER_JASMINE_1_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,697,TRAINER_BUGSY_2,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,707,TRAINER_PRYCE_1_3,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,736,TRAINER_WILL_1,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,804,TRAINER_STEVEN,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,877,TRAINER_TITLE_DEFENSE_LANCE,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,878,TRAINER_TITLE_DEFENSE_STEVEN,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,879,TRAINER_RIVAL_GOLD_ICEPATH,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,880,TRAINER_RIVAL_CRYSTAL_ICEPATH,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,881,TRAINER_RIVAL_GOLD_FINAL,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
1,PROMOTE_HARD_TO_DEFAULT,882,TRAINER_RIVAL_CRYSTAL_FINAL,trainers.party,KEEP_HARD_REMOVE_NORMAL,Keep Hard party; delete normal party block; remove Difficulty: Hard marker from kept block,Exactly one party block must remain for this trainer,CONCLUIDO
