id,name,has_party,used_map_script,used_other_system,status,accessible,reason
1,TRAINER_SAWYER_1,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
2,TRAINER_SAYO,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
3,TRAINER_SCOTT,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
4,TRAINER_SEAN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
5,TRAINER_SETH,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
6,TRAINER_TROY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
7,TRAINER_TULLY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
8,TRAINER_TYLER,Yes,No,-,ORPHANED_PARTY,No,Has a full party defined but is never referenced by any script or game system found
9,TRAINER_ROD,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
10,TRAINER_TONY,Yes,No,-,ORPHANED_PARTY,No,Has a full party defined but is never referenced by any script or game system found
11,TRAINER_MARCEL,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
12,TRAINER_ARNOLD,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
13,TRAINER_ED,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
14,TRAINER_VALERIE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
15,TRAINER_JOYCE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
16,TRAINER_TREVOR,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
17,TRAINER_ZEKE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
18,TRAINER_ZUKI,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
19,TRAINER_FALKNER_1,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
20,TRAINER_TODD,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
21,TRAINER_TOM,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
22,TRAINER_VERONICA,Yes,No,-,ORPHANED_PARTY,No,Has a full party defined but is never referenced by any script or game system found
23,TRAINER_THERESA,Yes,No,-,ORPHANED_PARTY,No,Has a full party defined but is never referenced by any script or game system found
24,TRAINER_TIM,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
25,TRAINER_TIMOTHY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
26,TRAINER_FALKNER_2,Yes,Yes,BattleDome/PWT,OK,Yes,Has party and is triggered by a map trainerbattle script
27,TRAINER_SID,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
28,TRAINER_STANLY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
29,TRAINER_REBECCA,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
30,TRAINER_MATT,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
31,TRAINER_ZANDER,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
32,TRAINER_DEVIN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
33,TRAINER_GRANT,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
34,TRAINER_CASSIE,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
35,TRAINER_LEAH,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
36,TRAINER_JEFFREY,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
37,TRAINER_GRUNT_33,Yes,Yes,Rematch/MatchCall,OK,Yes,Has party and is triggered by a map trainerbattle script
38,TRAINER_NORMAN,Yes,Yes,-,OK,Yes,Has party and is triggered by a map trainerbattle script
39,TRAINER_VIOLET,No,Yes,-,BROKEN_REFERENCE,No,Referenced by map script but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
40,TRAINER_ROSE_2,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
41,TRAINER_ROSE_3,No,No,Rematch/MatchCall,BROKEN_REFERENCE,No,Referenced by Rematch/MatchCall but has NO party defined in trainers.party (battle would use an empty/zeroed trainer)
