Familia,Geracao,Obtivel,Especie_encontrada,Local,Detalhe
Bulbasaur,1,Sim,Bulbasaur,Goldenrod Gachapon (Basic Gachapon),Gachapon
Charmander,1,Sim,Charmander,Goldenrod Gachapon (Basic Gachapon),Gachapon
Squirtle,1,Sim,Squirtle,Goldenrod Gachapon (Basic Gachapon),Gachapon
Caterpie,1,Sim,Caterpie,Route 30,Land Mons (Lv 3-4)
Weedle,1,Sim,Weedle,Route 30,Land Mons (Lv 3-4)
Pidgey,1,Sim,Pidgey,Route 29,Land Mons (Lv 2-3)
Rattata,1,Sim,Rattata,Route 29,Land Mons (Lv 2-3)
Spearow,1,Sim,Spearow,Gate Goldenrod City Route35,Named gift (Kenya)
Ekans,1,Sim,Ekans,Route 32,Land Mons (Lv 7-11)
Pikachu,1,Sim,Pikachu,Railway Cave,Land Mons (Lv 26-29)
Sandshrew,1,Sim,Sandshrew,Union Cave 1 F,Land Mons (Lv 9-12)
Nidoran (M/F),1,Sim,Nidoran F,Route 46,Land Mons (Lv 2-3)
Clefairy,1,Sim,Clefairy,Goldenrod Gachapon (Great Gachapon),Gachapon
Vulpix,1,Sim,Vulpix,Route 33,Land Mons (Lv 10-13)
Jigglypuff,1,Sim,Jigglypuff,Route 35,Land Mons (Lv 15-17)
Zubat,1,Sim,Zubat,Dark Cave South Side,Land Mons (Lv 3-6)
Oddish,1,Sim,Oddish,Ilex Forest,Hidden Grotto (Lv 15)
Paras,1,Sim,Paras,Route 30,Land Mons (Lv 3-4)
Venonat,1,Sim,Venonat,Route 31,Land Mons (Lv 5)
Diglett,1,Sim,Diglett,Union Cave B2 F,Land Mons (Lv 22)
Meowth,1,Sim,Meowth,Route 31,Land Mons (Lv 5)
Psyduck,1,Sim,Psyduck,Route 40,Fishing Mons (Lv 10)
Mankey,1,Sim,Mankey,Route 36,Land Mons (Lv 6-8) [Day]
Growlithe,1,Sim,Growlithe,Route 36,Land Mons (Lv 7-8) [Day]
Poliwag,1,Sim,Poliwag,Route 30,Water Mons (Lv 15-24)
Abra,1,Sim,Abra,Route 34,Land Mons (Lv 12-15)
Machop,1,Sim,Machop,Route 33,Land Mons (Lv 10-13)
Bellsprout,1,Sim,Bellsprout,Route 31,Land Mons (Lv 4-5)
Tentacool,1,Sim,Tentacool,Route 32,Water Mons (Lv 15-19)
Geodude,1,Sim,Geodude,Route 46,Land Mons (Lv 2-3)
Ponyta,1,Sim,Ponyta,Route 39,Land Mons (Lv 20-25)
Slowpoke,1,Sim,Slowpoke,Union Cave B1 F,Water Mons (Lv 15-19)
Magnemite,1,Sim,Magnemite,Route 38,Land Mons (Lv 20-23)
Farfetch'd,1,Sim,Farfetch'd,Route 43,Land Mons (Lv 25-27)
Doduo,1,Sim,Doduo,Route 46,Land Mons (Lv 2-3)
Seel,1,Sim,Seel,Route 47,Water Mons (Lv 28-33)
Grimer,1,Sim,Grimer,Route 34,Land Mons (Lv 13-16)
Shellder,1,Sim,Shellder,Route 32,Water Mons (Lv 15-19)
Gastly,1,Sim,Gastly,Sprout Tower 2 F,Land Mons (Lv 3-6)
Onix,1,Sim,Onix,Union Cave 1 F,Land Mons (Lv 9-13)
Drowzee,1,Sim,Drowzee,Sprout Tower 2 F,Land Mons (Lv 3-6)
Krabby,1,Sim,Krabby,Route 41,Fishing Mons (Lv 10)
Voltorb,1,Sim,Voltorb,Rocket Hideout B1 F,Land Mons (Lv 21)
Exeggcute,1,Sim,Exeggcute,Route 44,Land Mons (Lv 32-40)
Cubone,1,Sim,Cubone,Union Cave 1 F,Land Mons (Lv 9-13)
Hitmon-family (Tyrogue line),1,Sim,Tyrogue,Mt Mortar B1 F,Gift (Lv 25)
Lickitung,1,Sim,Lickitung,Route 44,Land Mons (Lv 34-40)
Koffing,1,Sim,Koffing,Burned Tower 1 F,Land Mons (Lv 18-22)
Rhyhorn,1,Sim,Rhyhorn,Union Cave 1 F,Land Mons (Lv 9-13)
Chansey,1,Sim,Chansey,Route 47,Land Mons (Lv 40-50)
Tangela,1,Sim,Tangela,Route 36,Land Mons (Lv 7-8) [Day]
Kangaskhan,1,Sim,Kangaskhan,Union Cave B2 F,Land Mons (Lv 23)
Horsea,1,Sim,Horsea,Route 41,Water Mons (Lv 21-30)
Goldeen,1,Sim,Goldeen,Whirl Islands 1 F,Fishing Mons (Lv 10)
Staryu,1,Sim,Staryu,Route 33,Fishing Mons (Lv 9-12)
